axis,value,num_tasks,n_mec,n_channels,td3_vs_greedy_pct,td3_vs_ga_pct
num_tasks,50,50,3,3,6.922573112097363,-0.9518221955664997
num_tasks,100,100,3,3,10.144735788183096,5.623081334626561
num_tasks,200,200,3,3,21.892972383805716,18.994974377077718
num_tasks,300,300,3,3,11.710946363917724,8.675566788043602
num_tasks,500,500,3,3,29.46924686216287,27.28060165752829
n_mec,5,100,5,3,-17.045343854034112,-12.268044643165037
n_mec,7,100,7,3,-39.87343294313328,-34.700184470503956
n_channels,5,100,3,5,12.087731127851137,7.674380221925247
