axis,value,num_tasks,n_mec,n_channels,algo,avg_delay,timeout_ratio,channel_overflow_ratio,avg_episode_runtime_sec
num_tasks,50,50,3,3,TD3,8.911540235730438,0.03799999999999999,0.008,0.0874345581047237
num_tasks,50,50,3,3,Greedy,9.57433024707807,0.003,0.0,0.007832278590649366
num_tasks,50,50,3,3,GA,8.827517960465112,0.003,0.0,2.3732027775608002
num_tasks,100,100,3,3,TD3,8.625575754514346,0.009500000000000001,0.05800000000000001,0.05081661576405168
num_tasks,100,100,3,3,Greedy,9.599410596780587,0.0034999999999999996,0.0,0.014896522369235754
num_tasks,100,100,3,3,GA,9.139497110620374,0.003,0.0,4.572779951803386
num_tasks,200,200,3,3,TD3,7.494560084387115,0.004,0.009,0.0997370382770896
num_tasks,200,200,3,3,Greedy,9.595244260496266,0.0015,0.0,0.02927501555532217
num_tasks,200,200,3,3,GA,9.251969278146062,0.003,0.0,9.08842209596187
num_tasks,300,300,3,3,TD3,8.474845625635954,0.017833333333333333,0.15966666666666665,0.15277848318219184
num_tasks,300,300,3,3,Greedy,9.598976630294771,0.0008333333333333333,0.0,0.0465940254740417
num_tasks,300,300,3,3,GA,9.279932354977275,0.0028333333333333335,0.0,13.616311132255941
num_tasks,500,500,3,3,TD3,6.751070041812636,0.0023000000000000004,0.0195,0.2532525491900742
num_tasks,500,500,3,3,Greedy,9.571810510259443,0.0019,0.0,0.0770850045606494
num_tasks,500,500,3,3,GA,9.283726482469643,0.0039000000000000007,0.0,23.114260040968656
n_mec,5,100,5,3,TD3,9.12320012656349,0.020000000000000007,0.0505,0.05020337197929621
n_mec,5,100,5,3,Greedy,7.794586120350867,0.0005,0.0,0.015116626210510731
n_mec,5,100,5,3,GA,8.126266165551247,0.0025,0.0,4.6222909324802455
n_mec,7,100,7,3,TD3,10.638166625241164,0.08650000000000001,0.181,0.05067863836884499
n_mec,7,100,7,3,Greedy,7.6055662618691855,0.0,0.0,0.015519787557423115
n_mec,7,100,7,3,GA,7.897662996571962,0.0,0.0,4.721941006463021
n_channels,5,100,3,5,TD3,8.437009609739043,0.021500000000000002,0.15650000000000003,0.05013912217691541
n_channels,5,100,3,5,Greedy,9.597078676252819,0.004,0.0,0.014893885515630246
n_channels,5,100,3,5,GA,9.138318952008424,0.004,0.0,4.557591391727328
